,index,state,county,latitude,longitude
968,968,KY,Bracken,38.690613,-84.061536
969,969,KY,Breathitt,37.5119526667,-83.3115872222
970,970,KY,Breckinridge,37.7744186429,-86.3928449286
971,971,KY,Bullitt,37.9791102,-85.6769966
972,972,KY,Butler,37.2207371,-86.7050984
973,973,KY,Caldwell,37.1708895,-87.926819
974,974,KY,Calloway,36.6391944286,-88.2551995714
975,975,KY,Campbell,39.0109133636,-84.4016521818
976,976,KY,Carlisle,36.84763675,-89.002029
977,977,KY,Carroll,38.66926425,-85.04988175
978,978,KY,Carter,38.2911635556,-83.0828932222
979,979,KY,Casey,37.258536,-84.8910216667
980,980,KY,Christian,36.8290438,-87.5079606
981,981,KY,Clark,37.9673046667,-84.158752
982,982,KY,Clay,37.1480663333,-83.7417094444
983,983,KY,Clinton,36.748735,-85.1586605
984,984,KY,Crittenden,37.31285,-88.149208
985,985,KY,Cumberland,36.8282394,-85.4460132
986,986,KY,Daviess,37.7372333333,-87.0916586667
987,987,KY,Edmonson,37.2305152857,-86.2628622857
988,988,KY,Elliott,38.131568,-83.079708
989,989,KY,Estill,37.709292,-83.9615276667
990,990,KY,Fayette,38.0278421429,-84.4812272041
991,991,KY,Fleming,38.3451484286,-83.701395
992,992,KY,Floyd,37.4981001818,-82.7312276364
993,993,KY,Franklin,38.2334643333,-84.8742422222
994,994,KY,Fulton,36.547805,-89.144572
995,995,KY,Gallatin,38.7421326667,-84.859701
996,996,KY,Garrard,37.64490075,-84.52586175
997,997,KY,Grant,38.6534893333,-84.6320091667
998,998,KY,Graves,36.7518939167,-88.6670345
999,999,KY,Grayson,37.4695351429,-86.3454228571
1000,1000,KY,Green,37.3153435,-85.5666885
1001,1001,KY,Greenup,38.578998875,-82.8455585
1002,1002,KY,Hancock,37.827685,-86.80275125
1003,1003,KY,Hardin,37.691407,-85.9912133333
1004,1004,KY,Harlan,36.8641236538,-83.2260534615
1005,1005,KY,Harrison,38.399515,-84.335117
1006,1006,KY,Hart,37.2696775,-85.8675833333
1007,1007,KY,Henderson,37.793642625,-87.585369125
1008,1008,KY,Henry,38.4587049091,-85.142894
1009,1009,KY,Hickman,36.7067435,-89.040687
1010,1010,KY,Hopkins,37.2768324,-87.5293528
1011,1011,KY,Jackson,37.408092625,-83.99054975
1012,1012,KY,Jefferson,38.2045605342,-85.6788137397
1013,1013,KY,Jessamine,37.88514225,-84.6182045
1014,1014,KY,Johnson,37.8364617,-82.812871
1015,1015,KY,Kenton,38.9842012727,-84.5360225455
1016,1016,KY,Knott,37.33237,-82.9296496667
1017,1017,KY,Knox,36.8717986111,-83.8382366667
1018,1018,KY,Larue,37.4944595,-85.67420175
1019,1019,KY,Laurel,37.1266856364,-84.1049431818
1020,1020,KY,Lawrence,38.092412625,-82.74451275
1021,1021,KY,Lee,37.5979433333,-83.6892678333
1022,1022,KY,Leslie,37.0910889444,-83.4007171111
1023,1023,KY,Letcher,37.1410265417,-82.8233949167
1024,1024,KY,Lewis,38.52554775,-83.330480875
1025,1025,KY,Lincoln,37.4306111667,-84.66411
1026,1026,KY,Livingston,37.1785098571,-88.3507215714
1027,1027,KY,Logan,36.8314968333,-86.8503071667
1028,1028,KY,Lyon,37.059111,-88.084921
1029,1029,KY,Madison,37.7040646667,-84.2626811667
1030,1030,KY,Magoffin,37.6928338889,-83.0423664444
1031,1031,KY,Marion,37.582149875,-85.30877125
1032,1032,KY,Marshall,36.91463425,-88.31245575
1033,1033,KY,Martin,37.8155348571,-82.5484721429
1034,1034,KY,Mason,38.6363162,-83.8580048
1035,1035,KY,Mccracken,37.0537935,-88.704328
1036,1036,KY,Mccreary,36.7693804286,-84.4975258571
1037,1037,KY,Mclean,37.5211881667,-87.2530178333
1038,1038,KY,Meade,37.9723877143,-86.2393961429
1039,1039,KY,Menifee,37.95940825,-83.606243
1040,1040,KY,Mercer,37.8081576667,-84.831561
1041,1041,KY,Metcalfe,36.9977334,-85.6643894
1042,1042,KY,Monroe,36.7077212,-85.758247
1043,1043,KY,Montgomery,38.0107543333,-83.8554156667
1044,1044,KY,Morgan,37.9335011111,-83.2050346667
1045,1045,KY,Muhlenberg,37.2228992857,-87.0986948571
1046,1046,KY,Nelson,37.7935934444,-85.4380608889
1047,1047,KY,Nicholas,38.318959,-83.9405965
1048,1048,KY,Ohio,37.4541118182,-86.8207618182
1049,1049,KY,Oldham,38.3974771429,-85.4635774286
1050,1050,KY,Owen,38.547668,-84.9108723333
1051,1051,KY,Owsley,37.4130196667,-83.692027
1052,1052,KY,Pendleton,38.713202,-84.3989633333
1053,1053,KY,Perry,37.2690907308,-83.2111226538
1054,1054,KY,Pike,37.4719650233,-82.3561103488
1055,1055,KY,Powell,37.8286326667,-83.7795296667
1056,1056,KY,Pulaski,37.0715795455,-84.5936085455
1057,1057,KY,Robertson,38.531698,-84.035565
1058,1058,KY,Rockcastle,37.3500181667,-84.3186936667
1059,1059,KY,Rowan,38.1725264,-83.416412
1060,1060,KY,Russell,36.9821765,-85.097139
1061,1061,KY,Scott,38.3098883333,-84.6012123333
1062,1062,KY,Shelby,38.1992536667,-85.2130828333
1063,1063,KY,Simpson,36.749382,-86.582631
1064,1064,KY,Spencer,38.0262265,-85.2736215
1065,1065,KY,Taylor,37.3440595,-85.276336
1066,1066,KY,Todd,36.8460031429,-87.1655855714
1067,1067,KY,Trigg,36.8777225,-87.7734775
1068,1068,KY,Trimble,38.6452065,-85.3541015
1069,1069,KY,Union,37.6317246,-87.9293902
1070,1070,KY,Warren,36.9534305,-86.3962349167
1071,1071,KY,Washington,37.77718,-85.1498825
1072,1072,KY,Wayne,36.8338815,-84.8218725
1073,1073,KY,Webster,37.517535125,-87.729139625
1074,1074,KY,Whitley,36.7940145714,-84.1015735714
1075,1075,KY,Wolfe,37.749378,-83.5222705
1076,1076,KY,Woodford,38.04679525,-84.7366675
1077,1077,LA,Acadia,30.2454734545,-92.4171959091
1078,1078,LA,Allen,30.663586125,-92.885110375
1079,1079,LA,Ascension,30.2115854167,-90.9087175833
1080,1080,LA,Assumption,29.9664418333,-91.0670948333
1081,1081,LA,Avoyelles,31.0601705,-92.0107922143
1082,1082,LA,Beauregard,30.6556504286,-93.216286
1083,1083,LA,Bienville,32.3511365,-93.0566595
1084,1084,LA,Bossier,32.5828142727,-93.5954508182
1085,1085,LA,Caddo,32.5962838696,-93.8077428043
1086,1086,LA,Calcasieu,30.2385532381,-93.2816148095
