State,County,Votes_Norm,Trump_Votes,Hillary_Votes,Independent_Votes,Total_Votes,Trump_Perc,Hillary_Perc,Independent_Perc
california,Tulare County,0.16199999999999995,33372.0,23663.0,2782.0,59817.0,55.8,39.6,4.6
california,Tuolumne County,0.19,10614.0,7075.0,1004.0,18693.0,56.8,37.8,5.3
california,Ventura County,-0.161,101351.0,143095.0,14992.0,259438.0,39.1,55.2,5.8
california,Yolo County,-0.42099999999999993,13178.0,34460.0,2985.0,50623.0,26.0,68.1,5.9
california,Yuba County,0.251,8869.0,5115.0,945.0,14929.0,59.4,34.3,6.4
colorado,Adams County,-0.07299999999999997,73807.0,86471.0,14847.0,175125.0,42.1,49.4,8.3
colorado,Alamosa County,-0.02,3031.0,3168.0,698.0,6897.0,43.9,45.9,10.0
colorado,Arapahoe County,-0.13800000000000004,109638.0,148365.0,23655.0,281658.0,38.9,52.7,8.1
colorado,Archuleta County,0.24,4234.0,2489.0,567.0,7290.0,58.1,34.1,7.6
colorado,Baca County,0.682,1716.0,278.0,113.0,2107.0,81.4,13.2,5.0
colorado,Bent County,0.309,1166.0,581.0,145.0,1892.0,61.6,30.7,7.8
colorado,Boulder County,-0.48699999999999993,38766.0,124715.0,13254.0,176735.0,21.9,70.6,7.3
colorado,Broomfield County,-0.14099999999999993,14272.0,19530.0,3540.0,37342.0,38.2,52.3,9.2
colorado,Chaffee County,0.04600000000000001,5283.0,4773.0,943.0,10999.0,48.0,43.4,8.3
colorado,Cheyenne County,0.723,905.0,127.0,44.0,1076.0,84.1,11.8,4.2
colorado,Clear Creek County,-0.028000000000000042,2426.0,2585.0,521.0,5532.0,43.9,46.7,9.4
colorado,Conejos County,0.032999999999999974,1885.0,1753.0,332.0,3970.0,47.5,44.2,8.3
colorado,Costilla County,-0.29,581.0,1109.0,130.0,1820.0,31.9,60.9,7.2
colorado,Crowley County,0.485,1069.0,336.0,106.0,1511.0,70.7,22.2,7.1
colorado,Custer County,0.41200000000000003,2059.0,797.0,208.0,3064.0,67.2,26.0,6.7
colorado,Delta County,0.452,11584.0,4048.0,1029.0,16661.0,69.5,24.3,6.0
colorado,Denver County,-0.565,42536.0,170497.0,13478.0,226511.0,18.8,75.3,5.8
colorado,Dolores County,0.576,936.0,227.0,67.0,1230.0,76.1,18.5,5.7
colorado,Douglas County,0.18099999999999994,100178.0,67045.0,15695.0,182918.0,54.8,36.7,8.5
